0,1,2,3,4
Cheval Blanc Paris,,"​​“The feel is 1930s meets 1970s, cool elegance with a bit of grooviness,” Vogue wrote of the new Blanc Paris, which opened in September 2021. The LVMH-owned hotel boasts four restaurants—including an outpost of the famous Milan seafood brasserie Langosteria and the three-Michelin starred Le Plénitude—a Dior spa, as well as a Rossano Ferretti Salon. Yet, perhaps the most wonderful thing about the Coeval Blanc is the simplest: the views of the Pont Neuf and The Seine, which guests can take in from their Peter Marino-designed guest rooms. —E.T.","Restaurants, bars, pool, spa, fitness center","Address: 8 Quai du Louvre, 75001 Paris, France"
Le Meurice,,"The rich and illustrious history of Le Meurice is genuinely mindboggling: with its central location and sweeping views over the Tuileries Gardens, the hotel, which dates back over two centuries, has played host to glamorous figures from Elizabeth Taylor to Mata Hari. But arguably its biggest claim to fame? Its seriously impressive credentials as a meeting place for some of the 20th century’s most prestigious artists and thinkers. (Salvador Dalí spent an entire month here annually for three decades, while everyone from Émile Zola to Andy Warhol to Bob Dylan has spent time roaming its corridors, and Picasso even hosted his wedding reception there.)","Restaurant, bar, pool, fitness center, spa, hair salon","Address: 30 Avenue Georges V, 75008 Paris, France"
Shangri-La Paris,,"It’s a spirit that still courses through the energy of the hotel today, with its playful, iconoclastic interiors, from the surreal sculpture of two swirling columns locked in an embrace that dominates the lobby, to the breathtaking painting that covers the entire ceiling of the central dining space that was created by Phillipe Starck’s daughter, Ara, when he gave the hotel a comprehensive design refresh in 2007. Take a short elevator ride up to one of the hotel’s 160 rooms and suites, however, and you’ll find the classic interior stylings of a grand Paris hotel (it is housed within what’s believed to be the oldest palace in France, after all) delivered with an effortlessly light touch, with a palette of creams and powder blues covering plush bedrooms and delicately marbled bathrooms. Oh, and don’t forget to check out the culinary options here too—not least the flagship two-Michelin-starred restaurant by Alain Ducasse, which takes a whimsical approach to fine dining that is entirely in keeping with the hotel as a whole. —L.H.","Full-service spa, two restaurants, health club, laundry facilities, ballroom and event spaces","Address: 228 Rue de Rivoli, 75001 Paris, France"
Hotel Madame Rêve,,"When it comes to the 100-room and suite Shangri-La Paris, the word “grand” is an understatement. When pulling up to this tony hotel, you’ll find that its entrance is somehow both magnificent and discreet, set back from Avenue d’Iéna and further obscured by a graceful landscaping design of palms and flora. Walk in, and a stately lounge unfolds to the right, check-in on your left, all while porters busily whisk Rimowa suitcases and designer garment bags to and fro. It’s very luxe. Very old school. And very international. Worth noting: This property is housed in the former home of Prince Roland Bonaparte, in the 16th arrondissement, and it’s one of the few five-star hotels in Paris that has close-up views of the Eiffel Tower. It’s also home to the Michelin-starred Shang Palace, a haute Chinese restaurant. But my recommendation? Order a glass of Chablis, grab a table flanking the garden, and watch the Iron Lady twinkle into the night sky. —Nick Remsen, contributing writer","Restaurants, bars, café, fitness center, pool, spa, terrace, car service","Address: 10 Av. d'Iéna, 75116 Paris, France"
La Fantaisie,,"The first thing I noticed about La Fantaisie, a new hotel in Paris’s 9th arrondissement, is a phrase etched into the pavement out front: “Enchanté,” or “nice to meet you.” But its literal translation is apt as well, as an enchanting forest of delights grows within. The lobby ceiling is covered in a tapestry resembling a tree canopy, tables in the salon are supported by petal-shaped legs, while the dense foliage-themed wallpaper in its corridors looks like it could have been lifted from the pages of Where The Wild Things Are. (The interior designer behind it all is Martin Brudnizki, the modern maximalist master also known for projects like Annabel’s in London and Hotel Fouquet’s in New York.) The hotel also has a restaurant by the three-Michelin-starred chef, Dominique Crenn, and a rooftop bar that overlooks the Haussman facades of Paris. —E.T.","Restaurants, bars, café, gym, rooftop terrace and bar, bicycle rentals, spa","Address: 48 Rue du Louvre, 75001 Paris, France"
Hotel Plaza Athenée,,"You’ll find all of the rooms and suites decked out with classic Gallic interior stylings, reinterpreted in eye-popping shades of gray and pink—but a special surprise lies in the rooms on its two top floors, which offer sleeker, Art Deco-inspired rooms and suites across sprawling, loft-like spaces and featuring unbeatable rooftop views. Don’t miss the world-class spa buried deep within the basement of the building, either. Newly refurbished and overseen by team Dior, its soothing treatment rooms feature butter-soft Dior blankets and cushions—as well as the best hydrafacial you’ll find across the entire city—it will send you back onto its streets (for more shopping, probably) with a newfound glow. —L.H.","Restaurant, rooftop bar, café, spa, garden","Address: 24 Rue Cadet, 75009 Paris, France"
Ritz Paris,,"There are iconic hotels, and then there is the Ritz Paris: first established in its historic location on the Place Vendôme in 1898 by the legendary Swiss hotelier César Ritz, its popularity and mythos have never waned over the decades since. (Even when, in 2012, the hotel was closed for four years for renovations, with the final days of its former iteration being memorably captured in a Kate Moss-starring fashion shoot for Vogue.) Of course, history lovers will find plenty to satisfy their curiosity here, whether revisiting its presence in classic books by F. Scott Fitzgerald and Ernest Hemingway, or tracing the footsteps of its illustrious guests from over the decades, whether Coco Chanel or Audrey Hepburn. But the hotel still shines for its exquisitely decorated rooms, impeccable service, and the high gastronomy of its various restaurants—the Ritz remains a Parisian classic for good reason. —L.H.","Restaurants, bars, pool, fitness center, spa, salon, private members club, boutiques","Address: 25 Avenue Montaigne, 75008 Paris, France"
J.K. Place Paris,https://www.jkplace.paris/,"Each of the 29 accommodations has been individually designed, but expect high ceilings, walk-in closets, and generously sized bathrooms with Dyson hairdryers. Just about everything bears a J.K. monogram, including the towels, robes, pillowcases, and cashmere throws laid across the ridiculously comfortable bed. Once hunger strikes, head down to the glass-roofed Casa Tua for Italian fare then mosey on over to the bar for a stellar negroni. And if time permits, book a treatment at the Noble Panacea spa or go for a dip in the marble-clad pool. —Christina Liao, contributing writer",,"Address: 15 Pl. Vendôme, 75001 Paris, France"
Le Royal Monceau – Raffles Paris,,,"Restaurants, bar, pool, fitness center, spa, terrace","Address: 82 Rue de Lille, 75007 Paris, France"
Soho House Paris,,"The room sizes range from 172 square feet to over 1,000. But even those who pick the smallest of options will find themselves charmed by their interiors, which are adorned with warm cream walls as well as jewel tone accents and gilded Art Deco-inspired mirrors. Some on the higher floors, even have exposed beam ceilings and free-standing tubs with brass faucets. (Our favorite design detail? The surrealist face throw pillows.) —E.T.","Three restaurants, bar, art gallery, fitness classes, full-service spa, art concierge","Address: 37 Avenue Hoche, 75008 Paris, France"
Château Voltaire,https://www.chateauvoltaire.com/en/,"Formerly Zadig & Voltaire’s headquarters, Thierry Gillier, the fashion label’s founder, entrusted artistic director Franck Durand and design duo Festern to convert a trio of 17th- and 18th-century buildings into the impossibly chic 32-key Château Voltaire. On the ground floor, you’ll find an inviting Arts & Crafts–style sitting room; La Coquille d’Or, a sexy Art Deco bar swathed in black, gold, and shell motifs (hence the name); and Brasserie L’Emil, the all-day restaurant serving Mediterranean-inspired dishes. Just below, a small spa includes a wellness space, complete with a sauna and wading pool, that can be privatized for an hour. All of the rooms differ slightly due to the varying nature of the three buildings, but common threads include fringed velvet furnishings, manor-style woodwork, black and white checkered-tile bathroom floors, and an aura of Parisian art de vivre. And if the stylish digs at this intimate hideaway aren’t enough to draw you in, consider its spectacular location in the 1st, just blocks away from the Louvre, the Tuileries Gardens, Little Tokyo, the Palais Garnier, and Place Vendôme. —C.L.","Restaurant, bar, fitness center, art collection, pool, terrace","Address: 45 Rue la Bruyère, 75009 Paris, France"
Hôtel Lutetia,,"For all of Hôtel Lutetia’s Art Nouveau glory (the property first opened in 1910), there’s a notable modernity about the place. For one, its rooms are, in this writer’s opinion, the most seamlessly integrated with technology of any luxury hotel worldwide. Simple touchscreens control everything from lighting to sheer curtains–there’s zero learning curve, and the screens work flawlessly. It’s the little things that count! In fact, all of Lutetia’s interior feels up to date–a contemporary hub within a picturesque, golden-era facade. In public areas, there’s a scene-y bar, a brasserie restaurant, and all-day dining in its atrium. Hotel guests can make use of a private library, with its sleek cool tones (it’s a perfect meeting space, as well as a swimming pool–a rarity in Paris. Most impressively, though: Lutetia is the city’s only luxury palace-style hotel in the perma-hip neighborhood of Saint-Germain-des-Près. It is also Paris’ sole five-star hotel on the Left Bank. A must-see, and a must-stay. —N.R.","Restaurants, bars, pool, fitness center, spa, wine tasting room, library","Address: 55 Rue Saint-Roch, 75001 Paris, France"
SO/ Paris,https://so-hotels.com/en/paris/,"However, panoramic vistas alone do not make for a great hotel, but thankfully SO/ Paris has more going for it than just breathtaking views. A futuristic lobby filled with walls of orange-hued mirrors, tulip-shaped columns, contemporary artwork, and staff wearing Guillaume Henry–designed uniforms sets the tone for a stylish stay. Upstairs, the 162 accommodations are bright, colorful, and stocked with sumptuous Maison Codage products, a French skincare brand that’s also behind the subterranean spa. (There’s also a touch of whimsy courtesy of the Bluetooth speaker in the shape of a bulldog.) Just make sure to book a room with a view of the Seine, where you can watch the bateaux mouches make their way along the river. And if you do plan on going up to Bonnie—the restaurant, bar, or club—make a reservation early. They’re the hottest spots in town right now. —C.L.",,"Address: 45 Bd Raspail, 75006 Paris, France"
Sinner Paris,http://sinnerparis.com/en/,"With a name like Sinner, it comes as no surprise that this hotel is one of the most mischievous and provocative hotels in Paris. Evok Collection’s third property borrows its inspiration from medieval churches—vaulted ceilings, black cassock-like uniforms, holy water fonts—but with a much naughtier twist that gives a hint of 2018 Met Gala Madonna. And if there’s one neighborhood in Paris where this concept works, it’s the hip and edgy Marais. Dimly lit corridors are decorated with stained glass mosaics depicting bare bodies. Red, dungeon-esque doors reveal, in contrast, bright and airy rooms, but, in keeping with the theme, risqué touches like suggestive artwork, tubes of lubricant on the bathroom counters, and leather riding crops in the closet. It's a unique experience that’s not meant for the demure. But with all that being said, accommodations still boast luxurious details like oversize wet rooms, plush bedding, curated minibars, turntables with a collection of vinyls, high-tech washlets, and Dyson hair tools on request. By day, unwind at the candlelit spa with a treatment curated by Swiss brand La Colline. Once evening rolls around, head down to the bar where a DJ sets the stage for a lively night ahead. —C.L.","Restaurant, bar, café, fitness center, pool, spa, bicycle rentals, art gallery","Address: 10 Rue Agrippa d'Aubigné, 75004 Paris, France"
Hotel des Grands-Boulevards,https://www.grandsboulevardshotel.com/,"Pulled back from the busy Boulevard Poissonnière thanks to a leafy passageway, Hotel des Grands-Boulevards is an unexpected gem in the heart of the city. It’s the second Paris property for Experimental Group, which started as a bar in 2007 and is often credited with bringing cocktail culture to the French capital before having expanded to restaurants and hotels. Naturally, its two bars are the crown jewels. The Shell, inspired by Marie Antoinette’s affinity for seashells and a nod to the building’s pre-Revolution history, is an intimate and sultry space decked out in burgundy. But when the weather warms up locals flock to The Shed on the roof for creative concoctions that include non-alcoholic and half-strength tipples. After you’ve had a couple of drinks, retire to one of the 50 cozy rooms. Decorated in dusty and pastel hues with dreamy canopied beds and rustic wooden furnishings, many look into the internal courtyard and class-covered restaurant by Giovanni Passerini while a few even offer furnished balconies and terraces. —C.L.","Restaurant, bar, pool, spa, shopping, bicycle rentals","Address: 116 Rue du Temple, 75003 Paris, France"
,,"Address: 17 Bd Poissonnière, 75002 Paris, France",,
NoMad London,https://www.thenomadhotel.com/london/,"Acclaimed interior design firm Roman and Williams turned the former Bow Street Magistrates Court and police station into the elegant NoMad Hotel in Covent Garden. Inspired by the Victorian era and also New York’s Jazz age (an apropos nod to the hotel brand’s American roots), expect clawfoot tubs, gilded armoires, moody Lelièvre damask wallpaper, and marble fireplaces. Meanwhile, the former police yard has been turned into an all-day restaurant adorned with greenery. —Elise Taylor, senior living writer",,
Brown’s Hotel,https://www.roccofortehotels.com/hotels-and-resorts/browns-hotel/,"There is perhaps no more elegant boutique hotel in London than Brown’s, where Rudyard Kipling wrote The Jungle Book and Alexander Graham Bell made the city’s first telephone call in 1877. Rooms are adorned in English wallpaper and pops of color, and the restaurant, Charlie’s, serves a Sunday roast where roast beef comes by the trolley. The upscale shops of Savile Row are minutes walk away, as is Hyde Park. —E.T.",,
The Berkeley,,"One of the true grande dames of the city’s hotel scene, The Berkeley’s blend of old-school hospitality with a few contemporary twists—and an impressive ability to wear its illustrious history lightly—means it firmly occupies a place at the top of any list of five-star London stays. Step through the sleek glass and steel entryway designed by starchitect Richard Rogers, and head down one of its rabbit-warren corridors to find the elegantly-proportioned Blue Bar or the cozy snug area of the Berkeley Bar with its playful, hand-painted murals, or simply make a beeline for the bright, airy café to enjoy one of the city’s most popular (and deservedly so) afternoon teas. If you’re looking for a serious treat, however, book yourself in for one of the spectacular counter service tasting menus of wildly intricate pastries and cakes courtesy of the award-winning pâtissier Cédric Grolet. As far as the hotel’s 190 individually-designed accommodations go, with its minimalist, quietly luxurious design scheme, there isn’t a bad room in the house. Arguably the greatest star attraction, however? That would be the breathtaking rooftop pool, with its expansive views across Hyde Park and the Thames. Despite the popular perception of London as a land of drizzly skies and pea-soup fog, when the summer months roll around, the ability to take a cooling dip on a hot afternoon offers a little slice of paradise. —L.H.",,
The Connaught,https://www.the-connaught.co.uk/,"Come to The Connaught for its five-star accommodations and service, stay for the unparalleled food and beverage offerings: restaurant Hélène Darroze has three Michelin stars, while the more casual eatery is by Jean-Georges Vongerichten. The Connaught Bar was officially named the world’s best bar. (Order from their traveling martini cart.) Last year, they opened the Red Room, an additional bar that features four scarlet artworks by Jenny Holzer, Ti-a Thuy Nguyen, and Trina McKillen. Also of note? The Aman spa—the only one built outside of Aman’s resorts. —E.T.",,
Hotel Café Royal,https://www.hotelcaferoyal.com/,"Brimming with elegant charm, Hotel Café Royal has been a meeting spot for those in the know for over a century. Previously a Parisian brasserie established by 19th-century wine merchant Daniel Nicholas Thévenon, a modern interpretation of the space imagined by renowned architect David Chipperfield brings together its Parisian roots with luxurious London sophistication—plus, with its location discreetly tucked behind Regent Street, it’s merely a stone’s throw from Mayfair’s most premium shopping destinations. Once you return, you can kick your heels off in the hotel’s tea room (a grade II listed salon once favored by Oscar Wilde)—complete with powder-pink macaroons and a refined tea menu masterminded by executive pastry chef Loic Carbonnet—before retiring to one of their generously-proportioned suites to relax in their slate gray marble bathtubs, or visiting the breathtaking Akasha Spa with its 60-feet pool, complete with sauna and jacuzzi. It’s ideal for staycations as well as visits from further afield. —Lynette Nylander",,
Ham Yard Hotel,https://www.firmdalehotels.com/hotels/london/ham-yard-hotel/,"Drawn to modern modish maximalist interiors? Look no further than Ham Yard, the Kit Kemp-designed hotel smack in the middle of Soho. Rooms—all with floor-to-ceiling windows—either have a view of the London skyline or a tree-filled courtyard. There’s also a library, spa, gym, theatre, rooftop garden, and a 1950s-style bowling alley adorned with vintage bowling shoes to boot. —E.T.",,
45 Park Lane,https://cna.st/affiliate-link/eT4EcdNoSc7DTkdngqLxG9ChMDZq5Rhn8M5YGAzGqfSs7yQnCPRnDWSRA5AapdQ7enSi?cid=6154d28ec5a6867634748985&xid=fr1708761427609eab,"If Don Draper were to visit London today, chances are he’d find himself at 45 Park Lane, the sleek, art deco-inspired sister hotel to the neighboring Dorchester. With just 45 handsomely appointed rooms (think: black lacquered dining tables, red leather loungers, and a collection of genuinely good British art), it’s a boutique hotel that doesn’t feel precious. You can find some of the best steaks in London at CUT, its ground-floor restaurant overseen by Wolfgang Puck; and for a nightcap, head to Bar 45, where the lighting is low and the pours are heavy. Fancy a dip? Take the lift down a level to the subterranean swimming pool—you’d be forgiven for thinking you’ve slipped into another time.",,
Raffles London at the OWO,https://www.1hotels.com/mayfair?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp,"London’s Mayfair is hardly lacking in high-end hotels—you can barely cross the street without bumping into a liveried doorman or a logo-emblazoned flag soaring above. But when the buzzy, sustainability-minded chain 1 Hotels landed in a prime spot on Berkeley Street earlier this summer, just steps away from Fortnum & Mason and the Royal Academy, the property’s point of difference quickly became clear. From the trellised facade bursting with greenery, to the airy interiors of its 181 rooms—all featuring natural oak surfaces, Welsh slate bathroom surfaces, potted plants, organic Bamford products, and even your own drinking water tap embedded in a moss-covered wall—the vibe is more laid-back Californian oasis than the fusty traditionalism of many of its neighbors. The sweeping views across the rooftops of St. James’s and beyond to Green Park only help emphasize the fact you’re both within the city, yet apart from it; as does the leafy courtyard restaurant Dovetale, overseen by two-Michelin-starred Chef Tom Seller and featuring fresh seafood and seasonal vegetable dishes sourced from across the British Isles.",,
One Aldwych,,"As far as location goes, One Aldwych is hard to beat. Not only is it a few minutes walk to London hotspots like the Covent Garden Piazza, Trafalgar Square, and an endless number of West End theaters, it’s also a hop, skip, and a jump from the Thames pathway and the vast array of cultural attractions along the South Bank. Yet once you’re happily ensconced in one of its 105 rooms and suites overlooking the likes of Waterloo Bridge and the London Eye, you’ll feel a world away from the clamor of the city. Luxuriously-appointed rooms feature crisp Frette sheets and sleek, minimal interiors that further foster the feeling you’re in your very own tranquil haven, while the hotel’s Indigo restaurant—with its convivial atmosphere and seasonal menu of inventive British classics—is esteemed enough to attract locals alongside One Aldwych guests. Bonus points too for the health club and indoor pool located in the basement, meaning you can get a few laps in before a long day of walking to see all the nearby sights—or retreat to the sauna to decompress on your return. —L.H.",,
The Peninsula Istanbul,,,,
Ciragan Palace Kempinski,,"Even if it’s just some rest and relaxation you’re after, The Peninsula has you covered. Deep in the bowels of the building lies an almost obscenely large spa complex, with a centerpiece of a showstopping 82-foot indoor pool—lit by shimmering domes inspired by the scalloped niches found in local mosques, installed with speakers playing gentle underwater music for a more 21st-century touch. The hotel’s real coup, however, was scoring a collaboration with the country’s first (and indeed, only) two Michelin-starred chef Fatih Tutak, whose restaurant Turk Fatih Tutak, is informed by his previous stints at Noma and Nihonryori Ryugin in Tokyo—and his new outpost at the hotel, Gallada, has quickly become one of the city’s most hotly-in-demand reservations. Make your reservation now.",,
,,"There are few buildings in Istanbul quite as storied as the Ciragan Palace, which was commissioned in the mid-19th century for an Ottoman sultan who never lived to see its completion. Thankfully, since it was converted to a hotel in the early ’90s (and later taken over by the Kempinski luxury hotel group), anyone who takes a room here can now enjoy its breathtaking opulence. (And plenty have: previous A-list guests include Oprah Winfrey, Madonna, and Bill Clinton.) Not a hotel to rest on its laurels, however, the ever-evolving offering at the Ciragan Palace ensures that repeat guests—and there are plenty of them—always have something new to discover. A recent refurbishment has added a fresh, contemporary touch to the Ottoman-inspired interiors of its 310 rooms and 31 suites, with elegant striped wallpaper in shades of burgundy and deep blue and lavishly marbled bathrooms. There are also two recently opened restaurants, including Akdeniz, the brainchild of visionary Turkish chef Esra Muslu, which offers a menu of pan-Mediterranean mezze where locally sourced vegetables play the starring role.",,
Soho House Istanbul,,"Located within the tangle of steep, buzzing streets that make up the city’s Beyoğlu district, the member’s club Soho House—which first set up shop in Istanbul in 2015—serves as full confirmation (if you really needed it) that the city is an up-and-coming creative capital. And in keeping with Istanbul’s broader spirit of paying reverence to the past while never being afraid to reinvent those traditions, the group’s signature cozy aesthetic has been applied to the historic surroundings of the former U.S. embassy in which Soho House sits with thoughtfulness and care. The rabbit warren of the atmospheric member’s club building features plenty of high ceilings, Art Nouveau woodwork and etched glass, and grand staircases, but there’s a casual, homely feel too, whether in the plaster walls that have been left to peel and flicker under the candlelight each evening, or the rooms set up with snooker tables and chess boards to bolster its convivial spirit.",,
Four Seasons Hotel at Sultanahmet,,"Across a courtyard filled with a maze of trees and hedges—offering plenty of nooks to take your morning coffee in—lies the main hotel building, which, while being a more recent, glass-walled addition, artfully melds the contemporary feel of Soho House’s trademark decor with a handful of local flourishes. (Think traditional iznik tiles in the bathrooms, all stocked with copious amounts of Cowshed and Soho Skin products, or kilim cushions scattered across the plush linens of your enormous king-size bed.) The hotel is a culinary destination in its own right, too, with local Istanbulites packing out its four restaurants, including an outpost of the popular Italian restaurant group Cecconi’s and superb, summer-only Greek-Mykonian eatery Apheleia, with offers a gyros-taco hybrid topped with tomato confit and paprika yogurt, and beef souvlaki and giant prawns cooked in an outdoor Josper oven. Make sure you grab a seat on the terrace: both Apheleia and the rooftop bar offer stunning views over the rooftops that sweep down the hillside—never more beautiful when bathed in the orange glow of an Istanbul sunset.",,
Shangri-La Bosphorus,,,,
JW Marriott Istanbul Bosphorus,,"This being a Shangri-La, there are touches of East Asian influence woven throughout, not least in the superb Shang Palace restaurant, which serves Cantonese classics—succulent prawn har gau and cheung fun, hand-pulled noodles, and Peking duck prepared with skin so crisp it practically shatters—executed with the utmost skill. Also worth a shout-out? The top-tier spa, which blends Turkish hospitality with traditional Asian healing methods and well-being practices, from Chinese-style acupressure to traditional Thai massage to stretch you back to life after a long-haul flight.",,
,,"Elsewhere within this recently refurbished outpost of Marriott’s signature five-star brand, though, the emphasis is on a more subtle kind of luxury. The plush, peaceful rooms are decked out in a palette of cream and powder blue that echo the views stretching across the city’s two waterways, with the lights of the markets and mosques on the opposite side of the Golden Horn twinkling at dusk. It’s an outlook best enjoyed from the hotel’s stunning rooftop restaurant and bar—or, indeed, its Michelin-recommended dining destination Octo. Overseen by the Portuguese chef Jorge Lavos Costa, the restaurant uses local Turkish produce to whizz up riffs on classic dishes from both his homeland and across Latin America, from sea bass tartar tacos to grilled octopus and grouper. Whatever hour of the day, it’s one of the best vantage points from which to see the city—and one of the best spots to experience its vibrant culinary scene, too.",,
"When you buy something through our retail links, we may earn an affiliate commission.",https://shop.themaker.com/products/maker-palmette-wallpaper-crimson-1,"Bohemian-meets-Belle Epoque is the best way to describe the interior design of The Maker, a boutique hotel where over 70 percent of the decor is vintage. Their four historic buildings—including an 1800s carriage house—are adorned in Moroccan rugs, stained glass, jewel-toned furniture, and wallpaper designed by the property’s co-founder. Even the beds, one of the few new pieces, are crafted in the French Louis XV style. Meanwhile, an all-day coffeehouse is inspired by the cafés of Europe and the main restaurant is housed in a glass conservatory.","gym, on-site restaurant",
"Hotel Kinsley (Kingston, New York)",,"“I wanted to move away from the typical Upstate aesthetic—antlers, plaid, reclaimed wood—and do something different,” designer Robert McKinley said of his interiors for Hotel Kinsley, a boutique hotel housed in four different 17th- to 19th-century buildings. Different, to him, meant rooms adorned in warm, sixties space-age-esque colors (think a mustard yellow headboard, a bright blue rug, an orange velvet sofa, and plaid chairs) dotted with modish modern pieces like Smeg refrigerators and walnut desks.","on-site restaurant, outdoor pool, golf, gym (opening in 2024), spa (opening in 2024)",
"Troutbeck (Amenia, New York)",,,"gym, spa, on-site restaurant, outdoor pool, tennis, complimentary bicycles and picnic sites",
"Little Cat Lodge (Hillsdale, New York)",,"The hotel’s “lobby” is an open-air space with blazing fire pits and couches swathed in velvet; cabins feature floor-to-ceiling windows that frame meadows dotted with goldenrods, cornflowers, and Indian paintbrush. An updated Americana aesthetic—inspired by the blazing colors of a tree in autumnal transition—defines the interiors designed by Brooklyn-based team Ward and Gray. “We took that palette and brought it inside,” Kristin says. There are patchwork quilts, electric log ovens, and Bobbin chairs sourced from a local antique store and re-upholstered in Pierre Frey fabric.","gym, spa, on-site restaurant, indoor pool, outdoor pool, on-site farm, outdoor playground",
"Habitas on Hudson (Rhinebeck, New York)",,"From the partners behind Pebble Bar comes Little Cat Lodge, a completely renovated and reinterpreted alpine lodge at the base of Catamount Mountain. Its interiors are Alpine-meets-Americana: checkerboard couches with floral embroidered pillows sit among chairs made from maple wood sourced from the forest nearby. Folksy painted motifs, including edelweiss, are painted on wooden banquettes as they would be at Captain Von Trapp’s house. There’s a dash of Japanese minimalism too—from the Noguchi lamps to the deliberately sparse, wood-focused design of the guest lodgings.","outdoor pool, on-site restaurant",
,,"Amenities: tennis, wellness programming, on-site restaurant",,
Quinta do Vallado,https://www.quintadovallado.com/pt/,"Built in 1716, Quinta do Vallado is one of Portugal’s oldest and most famous wine estates. The original 18th-century manor offers five rooms, resplendent with antique furnishings and a sense of history, while next door, the contemporary hotel designed by architect Francisco Vieira de Campos, houses eight rooms. The 158-acre property sits right on the bank of Rio Corgo, a tributary of the Douro, and offers stunning views of terraced hillsides. Tastings and vineyard tours are a must, and during the harvest season, guests can participate in picking and stomping the grapes.",,"Vilarinho dos Freires, Peso da Régua, Vila Real, 5050-364"
Village by BOA,https://www.villagebyboa.com/,"Barrio Do Silva was once a distinctive working-class housing complex in the heart of Porto, a unique architectural and cultural gem harkening back to the city’s industrial past. This thoughtful project has breathed new life into its five once-deserted 19th-century buildings, transforming them into 40 full-serviced apartments equipped with furnished kitchens and daily housekeeping services. The interiors are spacious and serene, with natural materials and a soothing color palette of earth tones. Village by BOA is ideally located in the Bolhão Neighborhood, home to Mercado do Bolhão and the iconic blue-and-white tiled Chapel of Souls.",,"Rua das Sobreiras 516, Porto, Porto, 4150-713"
